,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
313,77.06,5,0,0.0,0,2,4,16.28,80.45,0.38,-0.53,-2.67,-1.64,-0.43,-0.98,0.02,80.0,1.04,-0.69,15.7,0.204,1.66,3560.0,46.1,0,0,0,0,0,0,0,1,-7.15,0,4,0,0,2,0.55,0,4,1,2.55
314,409.43,30,18,0.21,6,6,2,112.04,64.8,3.46,3.96,3.85,1.48,4.72,3.49,-4.92,0.00491,1.2e-05,-5.02,0.0039,9.52e-06,-7.21,2.55e-05,6.22e-08,1,1,1,0,1,0,0,0,-5.99,0,0,0,0,0,0.55,0,0,2,3.37
315,133.12,9,0,0.8,1,3,1,27.92,67.77,0.8,-2.64,-1.73,-3.87,0.08,-1.47,1.06,1540.0,11.6,1.77,7750.0,58.2,-0.01,131.0,0.984,1,0,0,0,0,0,0,0,-8.99,0,4,0,0,2,0.55,0,0,1,2.12
316,370.34,28,23,0.0,4,6,0,97.51,116.96,2.56,3.8,3.25,2.81,2.42,2.97,-4.87,0.00495,1.34e-05,-5.95,0.000415,1.12e-06,-5.76,0.00065,1.75e-06,1,0,0,1,0,1,0,0,-5.86,0,0,0,0,0,0.56,0,0,2,2.84
317,420.45,31,16,0.28,8,6,2,115.88,93.48,3.03,3.52,3.43,3.09,5.37,3.69,-4.52,0.0127,3.03e-05,-5.17,0.00286,6.81e-06,-6.22,0.000254,6.04e-07,1,0,1,0,0,1,1,0,-6.37,0,0,0,0,0,0.56,0,0,3,4.17
318,430.45,31,15,0.38,5,8,4,118.94,88.4,3.38,1.7,-0.2,-4.2,1.08,0.35,-3.61,0.106,0.000247,-3.17,0.29,0.000673,-4.54,0.0124,2.88e-05,1,0,1,0,0,0,0,0,-7.72,0,0,0,0,0,0.55,0,0,1,4.2
319,146.14,10,0,1.0,0,4,2,31.22,58.92,1.1,-1.35,-1.49,-1.52,-0.4,-0.73,0.1,186.0,1.27,0.61,599.0,4.1,1.07,1730.0,11.8,1,0,0,0,0,0,0,0,-8.15,0,3,0,0,1,0.55,0,0,1,3.38
320,651.78,46,6,0.76,24,11,2,171.78,130.8,6.57,0.93,0.5,-4.72,5.1,1.67,-2.98,0.683,0.00105,-3.26,0.356,0.000546,-6.83,9.69e-05,1.49e-07,1,0,0,0,0,0,0,0,-9.62,2,3,1,0,3,0.17,0,1,2,7.12
321,530.65,39,18,0.36,20,6,0,151.53,78.9,4.74,6.7,6.05,5.1,8.03,6.12,-6.37,0.000225,4.24e-07,-8.16,3.67e-06,6.91e-09,-10.79,8.71e-09,1.64e-11,1,0,1,0,1,0,1,0,-4.78,2,4,1,1,2,0.17,0,1,3,3.75
322,123.11,9,6,0.0,1,3,1,30.13,68.87,0.74,-0.6,-0.42,-1.66,0.08,-0.37,-0.65,27.4,0.223,-0.37,51.9,0.422,-1.2,7.82,0.0635,1,0,0,0,0,0,0,0,-7.48,0,4,0,0,1,0.55,0,0,1,1.47
