,Mutagenicity,Blood-Brain Barrier Penetration,Oral Bioavailability,CYP1A2 Inhibition,CYP2C19 Inhibition,CYP2C9 Substrate,CYP2C9 Inhibition,CYP2D6 Substrate,CYP2D6 Inhibition,CYP3A4 Substrate,CYP3A4 Inhibition,Carcinogenicity,Clinical Toxicity,Drug Induced Liver Injury,Human Intestinal Absorption,Androgen Receptor (Ligand Binding Domain),Androgen Receptor (Full Length),Aryl Hydrocarbon Receptor,Aromatase,Estrogen Receptor (Ligand Binding Domain),Estrogen Receptor (Full Length),Peroxisome Proliferator-Activated Receptor Gamma,PAMPA Permeability,P-glycoprotein Inhibition,Nrf2-Antioxidant Responsive Element,ATPase Family AAA Domain-Containing Protein 5 (ATAD5),Heat Shock Factor Response Element,Mitochondrial Membrane Potential,Tumor Protein p53,Skin Reaction,hERG Blocking,Cell Effective Permeability,Drug Clearance (Hepatocyte),Drug Clearance (Microsome),Half Life,Hydration Free Energy,Acute Toxicity LD50,Lipophilicity,Plasma Protein Binding Rate,Aqueous Solubility,Volume of Distribution at Steady State
10,0.1099081020802259,0.1416790693998336,0.2403117626905441,0.0062690430204384,0.0202309099957346,0.0629936039447784,0.0191709702834486,0.046157725341618,0.0629238229244947,0.3854814529418945,0.0556565104052424,0.3140124022960663,0.0340370143763721,0.1671941429376602,0.1264968432486057,0.0449472408741712,0.0487845834344625,0.0067249786516185,0.002091894345358,0.0086295114830136,0.0862346574664116,0.0012414571101544,0.1721734419465065,0.0492994390428066,0.0359546557068824,0.0010320581524865,0.0070216258522123,0.0059268637327477,0.0096878437325358,0.176881156861782,0.3924498260021209,-5.823325189465398,3.303638508722243,14.630280949247853,6.119342106859688,-14.089819156197578,1.7760929149565587,-0.2786932887485487,57.76076461141749,-1.0155614345664314,-0.6470747230136848
11,0.0757766429334878,0.1227945610880851,0.2417455732822418,0.0028893894894281,0.017108862940222,0.063530258461833,0.019348655687645,0.0451035255566239,0.0675996432080865,0.5503421664237976,0.084822567179799,0.2607945919036865,0.0278994610533118,0.248116797208786,0.1021894015371799,0.0228760404512286,0.0365305751562118,0.0035339055699296,0.0011077027767896,0.0033576356014236,0.0492316961288452,0.0008532811814802,0.1569333180785179,0.0581233441829681,0.024992211908102,0.0007462173205567,0.0032938850868958,0.0052206176216714,0.0066449536476284,0.1119041942059993,0.541856586933136,-5.6580780093076335,-17.32930235281103,17.788754729235137,109.796656094959,-14.29943070092296,2.0961490153363407,-0.2681098931484412,60.38728635655366,-1.2479557764266094,-0.7082947274647353
12,0.0531794365495443,0.9231932520866394,0.8403810381889343,0.8171025276184082,0.572120749950409,0.2909669280052185,0.0561496332287788,0.6601293981075287,0.9217450022697448,0.7171007215976715,0.3336423620581626,0.0979324273765087,0.0021391295129433,0.0857118792831897,0.998110830783844,0.002568777045235,0.0126559262163937,0.2007592499256134,0.23100546002388,0.0968976616859436,0.2457538515329361,0.0024109631980536,0.9483792185783386,0.2158311754465103,0.1303497299551964,0.0012509724241681,0.0309583629015833,0.7363853573799133,0.0142573321703821,0.757529079914093,0.9001338720321655,-4.873065014311472,76.70835022022308,28.150938007121614,28.607765056937616,-6.9434298156186,3.310707933004666,2.712099454305671,86.82181955130974,-4.576635082851995,21.86807923778369
13,0.6932569146156311,0.9918163418769836,0.9211130023002624,0.8500489950180053,0.5851952910423279,0.5066412270069123,0.1277566738426685,0.5821727812290192,0.7400703430175781,0.8050288677215576,0.8484123587608338,0.040345549955964,0.2628321796655655,0.3853941291570663,0.99999737739563,0.0203989577013999,0.0273713331669569,0.5555933475494385,0.2205318927764892,0.0171475814655423,0.0787383634597063,0.0066570514813065,0.979223120212555,0.8165587067604065,0.2677078068256378,0.0234161026775836,0.0404065096750855,0.0371324805542826,0.0133049431256949,0.4555206358432769,0.7869835615158081,-4.788094385176159,32.97483099317051,20.63861574381362,1.3656320875991164,-9.32533869432262,2.492181193295223,1.8014880547909795,63.35367716541987,-1.917557214011724,-4.770555447468467
14,0.1125808909535408,0.7156448900699616,0.2634871944785118,0.0128777306061238,0.1366058369167149,0.3329917468130589,0.0132041361386654,0.5092569828033447,0.0967532277107238,0.7016741871833801,0.0633897769264876,0.0357321807183325,0.0034238701249705,0.1057214749976992,0.6108306393027305,0.0328956563025713,0.0743811428546905,0.0241089448332786,0.0153041797690093,0.0305602139793336,0.3021348595619201,0.00213184574568,0.5218989968299865,0.0840800405479967,0.1894187152385711,0.0054492244613356,0.007532059442019,0.0311202082782983,0.0111521288868971,0.6660142421722413,0.4575425744056701,-4.982904102993712,49.25962910326253,35.95612583407246,-18.282731512804123,-9.2203133024245,2.7332959066059037,1.83143094515464,65.53821484845737,-2.5581271360621907,5.863317641232111
15,0.6428141415119171,0.9585274934768676,0.891150426864624,0.165581639111042,0.830184257030487,0.1690424442291259,0.3904157549142837,0.1698458582162857,0.2673731453716755,0.8398657202720642,0.8540888547897338,0.1469117656350135,0.2613549411296844,0.64925457239151,0.99994637966156,0.0076846021460369,0.0333298500627279,0.0596538237296044,0.0726962111890316,0.0242458036169409,0.1734180852770805,0.0541612898930907,0.9147895932197572,0.7829505443572998,0.6761696398258209,0.0571259640157222,0.0666793171316385,0.1843943133950233,0.1219931423664093,0.3778491675853729,0.3134311452507973,-5.1924425271869765,78.41268215025003,79.03589593440309,-4.451358901551018,-8.167648323656026,2.939755208671021,2.605583029988836,94.06637669927274,-3.2186864619012305,0.288150533224529
16,0.1151621710509061,0.7940812110900879,0.7093425452709198,0.0197831666097044,0.0058861484285444,0.1602316305041313,0.0030125529621727,0.0452350176870822,0.0005425724655651,0.2035854153335094,0.0006586521922145,0.0941781222820282,0.0097556059714406,0.9172988295555116,0.8188847303390503,0.0123507961630821,0.0288281070068478,0.0077348355669528,0.0056703083682805,0.0037348285724874,0.0751697778701782,0.0014881143230013,0.1704306453466415,0.0037651010323315,0.0304993918165564,0.0034264675574377,0.006346860108897,0.0103165379958227,0.0393028538674116,0.7427643060684204,0.0349106283858418,-5.204574676534118,-14.551540148007012,-19.71278410040274,13.348338136314457,-14.823260351128102,2.324891710222452,-1.5348092159110702,53.42969851061273,-2.3062212972085634,3.9584106040737823
17,0.1787793397903442,0.940965187549591,0.9640239953994753,0.0621459387242794,0.6102211177349091,0.6410803735256195,0.1953629452735185,0.2693322256207466,0.0454996826127171,0.7698505759239197,0.1427480833604932,0.3482292979955673,0.0333357278257608,0.6312716603279114,0.99989173412323,0.0507496828678995,0.3791503965854644,0.0486940298229455,0.0125602292828261,0.0566628616303205,0.5405103266239166,0.010883898846805,0.98935809135437,0.363764776289463,0.2649399697780609,0.0085380513221025,0.0143890930339694,0.1634380992501974,0.0128632380161434,0.2053158178925514,0.0817589474841952,-4.439635812949663,28.66274048546257,29.912088321938324,27.718762129183165,-5.50036662695112,2.7145640885516267,2.555631664094814,102.45737358982949,-3.001238875734812,7.31403115352268
18,0.6548465967178345,0.8295415163040161,0.4976717293262481,0.7894450783729553,0.0170136626809835,0.3056161776185035,0.0016439743776572,0.7944226145744324,0.6745890021324158,0.5973870933055878,0.0497964214533567,0.0613895319402217,0.0016555346082895,0.3944702625274658,0.870291805267334,0.0195197761990129,0.0442389883100986,0.4163498818874359,0.0174954833462834,0.0202429978176951,0.1148959547281265,0.0018199687074229,0.6159465134143829,0.0655982743948698,0.0264019632712006,0.0034594423137605,0.007720088167116,0.0525614198297262,0.0223256960511207,0.7492903232574463,0.5252446591854095,-4.649626181612279,8.458360640318256,3.277663829112258,-3.256952976493147,-9.185881014760472,3.068805190836532,0.7160411141879,59.59762459617592,-2.353007841363304,3.371183724334196
19,0.3061834365129471,0.2300247251987457,0.3917890667915344,0.0343592658638954,0.113915079832077,0.135297717154026,0.027266807667911,0.2229886695742607,0.6919771790504455,0.6506868243217468,0.6955493032932282,0.6188353061676025,0.1017380453646183,0.557814872264862,0.4380175173282623,0.0130740003660321,0.0280602406710386,0.0285423869267106,0.0872772544622421,0.0172414911910891,0.0795713923871517,0.0071542715129908,0.48542400598526,0.8849546432495117,0.3828196376562118,0.0073202598839998,0.0120786962565034,0.1985828012228012,0.0228718569502234,0.2154483199119568,0.9830546855926514,-5.399467169654554,-14.430542392242694,8.59940480412353,51.73395211423574,-11.20171395572489,3.463586940596624,1.9007122968952888,85.21867576987783,-2.8326004313193818,7.157012142212659
20,0.3419530153274536,0.2770618766546249,0.8819587349891662,0.3163211405277252,0.4762796550989151,0.3177780032157898,0.5603321611881256,0.1290110006928443,0.1290135860443115,0.3183202296495437,0.4775393843650818,0.3686002612113953,0.4794262409210205,0.9599551677703856,0.9980658531188964,0.0079450739081949,0.01239650612697,0.4139949709177017,0.1596513226628303,0.0098523137625306,0.0923358969390392,0.0440681226551532,0.8052674770355225,0.4702849447727203,0.4283271670341492,0.039613839611411,0.0835125021636486,0.6919724464416503,0.3461424857378006,0.1374301955103874,0.7325069665908813,-5.194394970894591,-4.213147599861874,16.58899292486684,17.897321790553885,-13.135486779631655,2.9429845226321585,3.002547779247465,94.43875517344236,-4.1320522470102645,1.8324756207741144
21,0.0112836375366896,0.1809731729328632,0.2936777517199516,0.0104485120158642,0.0206861845450475,0.067877060174942,0.0105649761972017,0.5137606382369995,0.8823698282241821,0.6020148515701294,0.0926129460334777,0.0619485553354024,0.0036565035115927,0.0129763310309499,0.5745070800185204,0.004894028417766,0.0051246656104922,0.0107492352835834,0.0175275546964257,0.0118106234818696,0.1097829550504684,0.0006260201036639,0.6871536016464234,0.8912559628486634,0.0985257804393768,8.603214046161156e-05,0.0441864904016256,0.1161393381655216,0.0011281400627922,0.5735566347837449,0.9611151814460754,-5.643061024723654,39.81461003995936,46.22668203637302,-1.5759890215660337,-7.819861909405023,2.797321928549583,2.847589779320816,92.2296588050058,-4.483243366810156,3.947323961592427
22,0.1281514033675193,0.8514612555503845,0.3837662816047668,0.0065202558296732,0.0063637465471401,0.0576193587854504,0.000832687516231,0.3915470480918884,0.2155057728290557,0.5322085440158844,0.0049038291559554,0.0577823719941079,0.0102408646140247,0.079044452868402,0.6795584678649902,0.0133155338000506,0.0645549573004245,0.017790285218507,0.0103916165418922,0.0086652679368853,0.140095892548561,0.0001916533968142,0.466774719953537,0.0765101391822099,0.0141351547790691,0.0005053033091826,0.0013255547339213,0.002348063501995,0.0011536927137058,0.6186827957630158,0.8113110423088074,-5.431427703315938,0.8328650384451748,-6.199646559610909,29.921151034802573,-11.442409424093672,2.5480266430166068,-1.0363973524367658,37.40785353519245,-1.255517725166691,0.7064536906361039
